Target,Model1,Model2
1,0.8069125987,0.9346174379
1,0.9558199993,0.9898309988
1,0.9558199993,0.9899443805
1,0.8069125987,0.9887828552
1,0.8069125987,0.9887838591
1,0.0732882844,0.6267405118
1,0.9558199993,0.8615545049
1,0.0732882844,0.6066857048
1,0.9558199993,0.9898507954
1,0.9558199993,0.9891224268
1,0.3071511292,0.7938035227
1,0.3071511292,0.9692515172
1,0.8069125987,0.9155770054
1,0.7593687696,0.8030098019
1,0.9558199993,0.9839552984
1,0.8069125987,0.9674410305
1,0.9558199993,0.9798565588
1,0.3071511292,0.9552073557
1,0.6524112019,0.9893104128
1,0.9558199993,0.9886649066
1,0.8069125987,0.9883264346
1,0.3071511292,0.9333541688
1,0.9558199993,0.4767004733
1,0.9558199993,0.9886647983
1,0.9558199993,0.4767004733
1,0.3071511292,0.9899431006
1,0.8069125987,0.7938991692
1,0.3071511292,0.989935384
1,0.3071511292,0.8884097541
1,0.8069125987,0.7953260776
1,0.6524112019,0.7935336186
1,0.0732882844,0.0095428186
1,0.8069125987,0.7843402597
1,0.8069125987,0.9876721059
1,0.9558199993,0.9899429418
1,0.8069125987,0.9684071182
1,0.9558199993,0.9891523032
1,0.8069125987,0.9890445448
1,0.8069125987,0.9888629802
1,0.3071511292,0.9558253309
1,0.9558199993,0.9899434435
1,0.9558199993,0.9887293629
1,0.6524112019,0.9899258877
1,0.3071511292,0.7939659002
1,0.9558199993,0.9899443911
1,0.9558199993,0.9870942411
1,0.0732882844,0.2206382329
1,0.9558199993,0.9899443751
1,0.9558199993,0.9890079491
1,0.9558199993,0.9898858153
1,0.3071511292,0.802637155
1,0.9558199993,0.9894804344
1,0.0732882844,0.1333007518
1,0.8069125987,0.9355836331
1,0.7593687696,0.8971014949
1,0.7593687696,0.9899386527
1,0.7593687696,0.8285420821
1,0.0732882844,0.9659317791
1,0.8069125987,0.9083505285
1,0.9558199993,0.9550446741
1,0.9558199993,0.8038342139
1,0.6524112019,0.8047358914
1,0.8069125987,0.9899443912
1,0.8069125987,0.94515694
1,0.9558199993,0.8357704385
1,0.8069125987,0.9554367388
1,0.9558199993,0.3744910939
1,0.9558199993,0.9899391989
1,0.3071511292,0.9891774244
1,0.6524112019,0.7937487636
1,0.8069125987,0.7990561381
1,0.8069125987,0.9898948889
1,0.3071511292,0.9796787079
1,0.8069125987,0.9897846732
1,0.9558199993,0.9899443369
1,0.6524112019,0.9808907028
1,0.8069125987,0.8948704835
1,0.9558199993,0.9853174041
1,0.0732882844,0.0982849161
1,0.9558199993,0.9899443892
1,0.9558199993,0.9899443911
1,0.9558199993,0.9899443912
1,0.9558199993,0.9899443912
1,0.9558199993,0.9899283802
1,0.8069125987,0.9077936773
1,0.8069125987,0.9409697792
1,0.8069125987,0.9775002405
1,0.8069125987,0.9555145706
1,0.8069125987,0.9555145706
1,0.8069125987,0.9555145706
1,0.8069125987,0.0981289665
1,0.8069125987,0.9212206717
1,0.8069125987,0.0981289665
1,0.7593687696,0.9899129587
1,0.3071511292,0.986399836
1,0.0732882844,0.2788279451
1,0.6524112019,0.9867406125
1,0.8069125987,0.9899443912
1,0.9558199993,0.9899443896
1,0.6524112019,0.9867406125
1,0.6524112019,0.9867755617
1,0.9558199993,0.9899443911
1,0.9558199993,0.9883504443
1,0.9558199993,0.9899433239
1,0.9558199993,0.7891059874
1,0.8069125987,0.9875846316
1,0.9558199993,0.9899238299
1,0.9558199993,0.9897527913
1,0.9558199993,0.9898042231
1,0.3071511292,0.986480904
1,0.3071511292,0.94073552
1,0.9558199993,0.9897968968
1,0.9558199993,0.9887135784
1,0.9558199993,0.9559988719
1,0.9558199993,0.9559988719
1,0.9558199993,0.9899166017
1,0.0732882844,0.7810277092
1,0.0732882844,0.8790316113
1,0.9558199993,0.9899166017
1,0.9558199993,0.9899443911
1,0.9558199993,0.9463466114
1,0.3071511292,0.7939117762
1,0.9558199993,0.9887424446
1,0.9558199993,0.9843797517
1,0.3071511292,0.8553697689
1,0.9558199993,0.9899443899
1,0.3071511292,0.60987427
1,0.3071511292,0.9541830985
1,0.3071511292,0.8495974495
1,0.0732882844,0.9899443709
1,0.9558199993,0.9899443896
1,0.8069125987,0.9879821666
1,0.6524112019,0.9892230797
1,0.9558199993,0.9899286883
1,0.7593687696,0.8313524351
1,0.9558199993,0.9899286883
1,0.8069125987,0.9890305838
1,0.7593687696,0.9898357411
1,0.8069125987,0.9256234863
1,0.9558199993,0.9872394857
1,0.8069125987,0.9808062507
1,0.8069125987,0.9837445352
1,0.3071511292,0.8983989733
1,0.3071511292,0.9559011749
1,0.3071511292,0.9898854099
1,0.3071511292,0.9899290381
1,0.0732882844,0.9899437664
1,0.9558199993,0.9894257425
1,0.8069125987,0.9472209049
1,0.3071511292,0.9899290351
1,0.9558199993,0.9895106853
1,0.9558199993,0.9871106566
1,0.8069125987,0.9853172095
1,0.3071511292,0.8696043844
1,0.6524112019,0.9839108667
1,0.7593687696,0.9899443912
1,0.9558199993,0.9890060182
1,0.8069125987,0.9899075819
1,0.7593687696,0.9899433214
1,0.3071511292,0.9739655483
1,0.9558199993,0.9826045347
1,0.9558199993,0.792398209
1,0.9558199993,0.9899266645
1,0.9558199993,0.9829038694
1,0.9558199993,0.9899243023
1,0.7593687696,0.7987912398
1,0.9558199993,0.9899443901
1,0.9558199993,0.9898935222
1,0.9558199993,0.9898911819
1,0.9558199993,0.9890475422
1,0.3071511292,0.9595855892
1,0.9558199993,0.9898262462
1,0.3071511292,0.9633136424
1,0.9558199993,0.9899443912
1,0.9558199993,0.9872333083
1,0.7593687696,0.8314963938
1,0.9558199993,0.9852496327
1,0.9558199993,0.9899266365
1,0.3071511292,0.9216588946
1,0.9558199993,0.7935503959
1,0.0732882844,0.9430458983
1,0.0732882844,0.9430458983
1,0.9558199993,0.9899438633
1,0.9558199993,0.9898464337
1,0.9558199993,0.9899286883
1,0.9558199993,0.9898560363
1,0.9558199993,0.989374199
1,0.9558199993,0.9869978214
1,0.6524112019,0.9892866357
1,0.6524112019,0.9893173677
1,0.9558199993,0.9838804438
1,0.9558199993,0.9890940308
1,0.3071511292,0.9718090435
1,0.6524112019,0.9899443902
1,0.9558199993,0.8810536234
1,0.9558199993,0.9872518812
1,0.0732882844,0.403793319
1,0.9558199993,0.9880390496
1,0.0732882844,0.060767011
1,0.0732882844,0.060767011
1,0.9558199993,0.9811136548
1,0.8069125987,0.9899443068
1,0.6524112019,0.7978486517
1,0.3071511292,0.8515464849
1,0.9558199993,0.9875301151
1,0.8069125987,0.9899443312
1,0.3071511292,0.9899419159
1,0.8069125987,0.983736338
1,0.8069125987,0.9899443312
1,0.9558199993,0.8089634189
1,0.9558199993,0.9898465845
1,0.9558199993,0.8096203721
1,0.0732882844,0.0019972558
1,0.9558199993,0.9118765415
1,0.9558199993,0.989793835
1,0.9558199993,0.9899170722
1,0.9558199993,0.9899169455
1,0.9558199993,0.9898960768
1,0.6524112019,0.9894731795
1,0.9558199993,0.9863759689
1,0.6524112019,0.9894625796
1,0.9558199993,0.8096203721
1,0.0732882844,0.9850271766
1,0.9558199993,0.9874081597
1,0.9558199993,0.8166980718
1,0.9558199993,0.8977388844
1,0.8069125987,0.9795553116
1,0.9558199993,0.9890785857
1,0.9558199993,0.9899402841
1,0.9558199993,0.8977388844
1,0.3071511292,0.9897450948
1,0.6524112019,0.9736247052
1,0.7593687696,0.9899443703
1,0.8069125987,0.9899443415
1,0.9558199993,0.988852887
1,0.9558199993,0.9898494265
1,0.8069125987,0.9875669212
1,0.8069125987,0.9899443415
1,0.9558199993,0.9899397627
1,0.9558199993,0.8034925681
1,0.9558199993,0.9863259042
1,0.9558199993,0.9899443542
1,0.8069125987,0.7244223699
1,0.9558199993,0.803493595
1,0.3071511292,0.9298966875
1,0.9558199993,0.9899094726
1,0.9558199993,0.9899246432
1,0.9558199993,0.9899325619
1,0.9558199993,0.9898105904
1,0.9558199993,0.9895508767
1,0.6524112019,0.9882335714
1,0.9558199993,0.9897964487
1,0.9558199993,0.7946338265
1,0.9558199993,0.8823614066
1,0.8069125987,0.9899443351
1,0.7593687696,0.8020366375
1,0.9558199993,0.8912536495
1,0.9558199993,0.9899333028
1,0.6524112019,0.9892485749
1,0.9558199993,0.9899365824
1,0.6524112019,0.9527861204
1,0.8069125987,0.7246246139
1,0.3071511292,0.1312222577
1,0.8069125987,0.9895050716
1,0.3071511292,0.9004459974
1,0.8069125987,0.9271802145
1,0.6524112019,0.9899264549
1,0.3071511292,0.7923717619
1,0.9558199993,0.9898508213
1,0.6524112019,0.9465315994
1,0.9558199993,0.9089932734
1,0.9558199993,0.8819231724
1,0.6524112019,0.9892237639
1,0.8069125987,0.3560385806
1,0.8069125987,0.9603216022
1,0.8069125987,0.3560385806
1,0.0732882844,0.0865233536
1,0.9558199993,0.7958469189
1,0.9558199993,0.9899406387
1,0.9558199993,0.883893172
1,0.9558199993,0.8019451717
1,0.8069125987,0.7773196581
1,0.6524112019,0.9473311997
1,0.9558199993,0.7982537263
1,0.3071511292,0.9881344969
1,0.9558199993,0.989937791
1,0.9558199993,0.9891078876
1,0.9558199993,0.7982537263
1,0.7593687696,0.7980206507
1,0.6524112019,0.9892507975
1,0.6524112019,0.9466251742
1,0.9558199993,0.7982537263
1,0.9558199993,0.9899307839
1,0.9558199993,0.9896064319
1,0.6524112019,0.9899443912
1,0.9558199993,0.9891078876
1,0.9558199993,0.7541206088
1,0.9558199993,0.989937791
1,0.9558199993,0.9891078876
1,0.0732882844,0.003215163
1,0.9558199993,0.7982537263
1,0.6524112019,0.9892368949
1,0.6524112019,0.989926446
1,0.6524112019,0.9473311997
1,0.6524112019,0.9899293306
1,0.7593687696,0.9456951519
1,0.7593687696,0.7939604572
1,0.9558199993,0.9889055594
1,0.3071511292,0.8168243084
1,0.3071511292,0.84386407
1,0.9558199993,0.9728814548
1,0.6524112019,0.9892368949
1,0.0732882844,0.2374989572
1,0.9558199993,0.9728814548
1,0.8069125987,0.9798046153
1,0.9558199993,0.8386432537
1,0.6524112019,0.9884373806
1,0.9558199993,0.8493707779
1,0.9558199993,0.9682113301
1,0.9558199993,0.987044794
1,0.3071511292,0.989763631
1,0.8069125987,0.3250875519
1,0.9558199993,0.9899442116
1,0.8069125987,0.8893520676
1,0.0732882844,0.8359152457
1,0.9558199993,0.9898931392
1,0.0732882844,0.9873818987
1,0.9558199993,0.9899443752
1,0.3071511292,0.8905358599
1,0.9558199993,0.9458903999
1,0.6524112019,0.9899238533
1,0.9558199993,0.9898331938
1,0.9558199993,0.9899443695
1,0.3071511292,0.9886928537
1,0.0732882844,0.1000353259
1,0.9558199993,0.9899441065
1,0.9558199993,0.9888597652
1,0.9558199993,0.9899392932
1,0.9558199993,0.7326898838
1,0.3071511292,0.9258169713
1,0.8069125987,0.9896365129
1,0.9558199993,0.9887151665
1,0.0732882844,0.8021264125
1,0.3071511292,0.8092904942
1,0.9558199993,0.9898295096
1,0.3071511292,0.8659359229
1,0.0732882844,0.9723999758
1,0.8069125987,0.7376627846
1,0.9558199993,0.9888240448
1,0.0732882844,0.810116626
1,0.3071511292,0.9781607546
1,0.9558199993,0.9899443742
1,0.8069125987,0.9880801572
1,0.9558199993,0.9898696375
1,0.9558199993,0.918415818
1,0.9558199993,0.9898164493
1,0.9558199993,0.9899359302
1,0.9558199993,0.9899418627
1,0.9558199993,0.9893741494
1,0.9558199993,0.9893409516
1,0.9558199993,0.9899443911
1,0.9558199993,0.9899443905
1,0.9558199993,0.9564233722
1,0.9558199993,0.9899232214
1,0.3071511292,0.82710831
1,0.9558199993,0.9899443912
1,0.9558199993,0.9564233722
1,0.3071511292,0.989164393
1,0.3071511292,0.989609569
1,0.0732882844,0.9854503923
1,0.3071511292,0.7038536744
1,0.9558199993,0.9889812647
1,0.8069125987,0.9628185631
1,0.0732882844,0.5649732516
1,0.9558199993,0.9899011063
1,0.8069125987,0.9740226782
1,0.3071511292,0.9821032191
1,0.9558199993,0.9884987951
1,0.9558199993,0.9899427498
1,0.3071511292,0.9865481016
1,0.9558199993,0.9899443912
1,0.6524112019,0.7939294464
1,0.8069125987,0.9116722254
1,0.8069125987,0.9892934817
1,0.9558199993,0.9562680147
1,0.0732882844,0.9883050403
1,0.0732882844,0.9883050403
1,0.9558199993,0.9387938368
1,0.9558199993,0.9891665017
1,0.0732882844,0.9854693908
1,0.6524112019,0.9877399537
